2024-07-21 18:19:23.555 | INFO     | Search:search_referee:line:106 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Paul_Tierney_(referee)'WHERE ID = 21
2024-07-21 18:19:28.243 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Stuart_Attwell', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Stuart_Attwell_%28cropped%29.jpg/150px-Stuart_Attwell_%28cropped%29.jpg' WHERE ID = 22
2024-07-21 18:19:30.395 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Michael_Oliver_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Michael_Oliver_in_2014.jpeg/120px-Michael_Oliver_in_2014.jpeg' WHERE ID = 23
2024-07-21 18:19:34.085 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Martin_Atkinson', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Martin_Atkinson_%28cropped%29.jpg/150px-Martin_Atkinson_%28cropped%29.jpg' WHERE ID = 24
2024-07-21 18:19:37.239 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Mike_Dean_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/MikeDeanDecember2016.jpg/120px-MikeDeanDecember2016.jpg' WHERE ID = 25
2024-07-21 18:19:40.499 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Andre_Marriner', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Andre_Marriner_2013.jpg/150px-Andre_Marriner_2013.jpg' WHERE ID = 26
2024-07-21 18:19:42.972 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Jon_Moss_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Jonathan_Moss_ref.jpg/120px-Jonathan_Moss_ref.jpg' WHERE ID = 27
2024-07-21 18:19:46.261 | ERROR    | Search:search_referee:line:93 | Lack of referee_image_url for ID: '28'
2024-07-21 18:19:49.483 | INFO     | Search:search_referee:line:106 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Andrew_Madley'WHERE ID = 28
2024-07-21 18:19:52.677 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Craig_Pawson', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Austria_vs._Russia_20141115_%28094%29.jpg/150px-Austria_vs._Russia_20141115_%28094%29.jpg' WHERE ID = 29
2024-07-21 18:19:56.598 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Anthony_Taylor_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Chelsea_2_Spurs_0_Capital_One_Cup_winners_2015_%2816692371952%29_%28cropped%29_%28cropped%29.jpg/120px-Chelsea_2_Spurs_0_Capital_One_Cup_winners_2015_%2816692371952%29_%28cropped%29_%28cropped%29.jpg' WHERE ID = 30
2024-07-21 18:20:00.673 | ERROR    | Search:search_referee:line:93 | Lack of referee_image_url for ID: '31'
