2024-07-24 10:58:52.248 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Sammy_Ofer_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/SammyOfer25.JPG/120px-SammyOfer25.JPG' WHERE ID = 74
2024-07-24 10:58:55.084 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Parken_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Denmark_copenhagen_parken_stadium.jpg/150px-Denmark_copenhagen_parken_stadium.jpg' WHERE ID = 75
2024-07-24 10:58:57.226 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Metropolitano_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wanda-Metropolitano.jpg/200px-Wanda-Metropolitano.jpg' WHERE ID = 76
2024-07-24 10:58:59.857 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Zimbru_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Zimbru_Stadium_2023.jpg/120px-Zimbru_Stadium_2023.jpg' WHERE ID = 77
2024-07-24 10:59:03.177 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Bolt_Arena', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Finnair_Stadium_Helsinki.JPG/120px-Finnair_Stadium_Helsinki.JPG' WHERE ID = 78
2024-07-24 10:59:06.472 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Camp_Nou', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Camp_Nou_aerial.jpg/120px-Camp_Nou_aerial.jpg' WHERE ID = 79
2024-07-24 10:59:09.747 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadium_de_Toulouse', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Stadium-Lory.jpg/250px-Stadium-Lory.jpg' WHERE ID = 80
2024-07-24 10:59:12.593 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Allianz_Riviera', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Allianz_Riviera_Nice_charpente.jpg/120px-Allianz_Riviera_Nice_charpente.jpg' WHERE ID = 81
2024-07-24 10:59:15.145 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stade_de_la_Beaujoire', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Match_Football_FC_Nantes_x_RC_Lens_Stade_Beaujoire_-_Nantes_%28FR44%29_-_2022-09-18_-_51.jpg/120px-Match_Football_FC_Nantes_x_RC_Lens_Stade_Beaujoire_-_Nantes_%28FR44%29_-_2022-09-18_-_51.jpg' WHERE ID = 82
2024-07-24 10:59:17.947 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stade_de_la_Meinau', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/La_Meinau_en_National.jpg/220px-La_Meinau_en_National.jpg' WHERE ID = 83
2024-07-24 10:59:37.311 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stade_Pierre-Mauroy', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lille_vs_PSG_2019_-_Stade_Pierre_Mauroy.jpg/150px-Lille_vs_PSG_2019_-_Stade_Pierre_Mauroy.jpg' WHERE ID = 90
2024-07-24 10:59:39.808 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stade_Saint-Symphorien', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Tribune_Ouest_Saint_Symphorien.jpg/120px-Tribune_Ouest_Saint_Symphorien.jpg' WHERE ID = 91
