2024-07-21 18:35:19.290 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3965'
2024-07-21 18:35:22.968 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Yannik_Keitel'WHERE ID = 3965
2024-07-21 18:35:27.620 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3968'
2024-07-21 18:35:33.977 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Noah_Wei%C3%9Fhaupt'WHERE ID = 3968
2024-07-21 18:35:40.145 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3969'
2024-07-21 18:35:44.156 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Lukas_K%C3%BCbler'WHERE ID = 3969
2024-07-21 18:35:49.542 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3970'
2024-07-21 18:35:54.840 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Kenneth_Schmidt'WHERE ID = 3970
2024-07-21 18:35:58.465 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3972'
2024-07-21 18:36:01.339 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Robert_Wagner_(footballer)'WHERE ID = 3972
2024-07-21 18:36:04.979 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3980'
2024-07-21 18:36:08.268 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Jakub_Kami%C5%84ski'WHERE ID = 3980
2024-07-21 18:36:13.739 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3988'
2024-07-21 18:36:16.064 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Kevin_Paredes'WHERE ID = 3988
2024-07-21 18:36:22.148 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3990'
2024-07-21 18:36:25.839 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Kilian_Fischer'WHERE ID = 3990
2024-07-21 18:36:33.227 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3994'
2024-07-21 18:36:38.709 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Gabriel_Vidovi%C4%87'WHERE ID = 3994
